LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11260,4120,740330.0,7172336.5,592.6,86.2,0.0,54922.33,154863.1,105056.9,68050.11,34993.58,13614.56,4821.393,2270.173,1256.061,489.0859,0.000000
1,11260,4124,740330.1,7172386.5,590.7,87.1,0.0,54907.72,144546.1,83781.88,51842.57,27998.07,11994.38,4754.492,2357.279,1304.421,506.9047,0.000000
1,11260,4128,740330.2,7172436.5,591.2,86.7,0.0,54895.80,165310.8,98338.88,59703.56,31318.04,13023.95,4962.239,2375.067,1308.452,513.2471,0.000000
1,11260,4132,740330.5,7172486.5,591.6,86.4,0.0,54886.25,194755.3,122280.3,74265.69,38744.04,15859.79,5676.806,2473.646,1317.144,517.3375,0.000000
1,11260,4136,740330.8,7172538.5,591.4,86.4,0.0,54877.35,209157.1,136459.2,84239.64,44808.25,18682.53,6597.498,2691.123,1368.335,528.7881,0.000000
1,11260,4140,740330.8,7172589.0,590.8,88.0,0.0,54868.35,218119.5,148445.2,92667.02,49174.65,20528.21,7268.037,2909.053,1431.101,538.6644,0.000000
1,11260,4144,740330.6,7172639.0,589.5,90.0,0.0,54860.20,221964.3,155918.7,98225.75,51686.30,21427.43,7614.222,3044.794,1473.731,545.4659,0.000000
1,11260,4148,740330.1,7172689.0,588.0,91.0,0.0,54853.80,221146.1,156550.1,98886.80,51888.95,21432.26,7601.402,3036.814,1469.865,544.8257,0.000000
1,11260,4152,740329.4,7172739.0,586.3,92.2,0.0,54849.45,214052.8,149870.5,95243.21,51156.88,21646.38,7706.357,3017.040,1444.399,536.5164,0.000000
1,11260,4156,740328.7,7172789.0,585.4,93.4,0.0,54847.73,208775.8,135629.7,82917.23,46177.30,21765.96,8785.917,3523.584,1588.168,579.7942,0.000000
1,11260,4160,740328.0,7172838.5,585.6,94.6,0.0,54845.15,194063.0,120404.1,73347.95,43422.40,22426.67,10187.60,4942.558,2528.419,928.4164,0.000000
1,11260,4164,740327.5,7172888.5,585.7,95.8,0.0,54840.25,172126.8,105523.4,64831.96,40135.13,23212.71,12007.02,6235.738,3410.330,1350.200,0.000000
1,11260,4168,740327.0,7172938.0,585.3,96.8,0.0,54833.58,148078.3,90385.53,57474.29,36872.67,22327.04,12302.74,6659.394,3689.307,1471.885,0.000000
1,11260,4172,740326.7,7172986.0,585.3,96.9,0.0,54827.30,127851.3,77776.16,50577.91,32904.98,19980.94,11133.96,6251.883,3578.258,1442.212,0.000000
