LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,1563,478997.8,6201341.5,24.9,34.0,0.0,0.00,39.08,44.15,135.33,394.90,881.83,224.55
31003,1570,478997.4,6201366.5,24.7,33.7,0.0,0.00,45.32,47.72,137.60,395.09,882.88,225.18
31003,1577,478997.1,6201392.0,24.8,33.4,0.0,0.00,50.01,49.88,137.28,389.56,876.88,223.83
31003,1584,478996.9,6201417.0,25.0,33.5,0.0,0.00,52.24,51.35,136.55,384.04,868.67,223.75
31003,1591,478996.9,6201442.0,25.5,34.0,0.0,0.00,50.58,50.73,132.64,371.01,846.31,227.82
31003,1598,478997.1,6201466.5,26.1,33.8,0.0,0.00,39.77,47.24,123.57,346.63,798.06,226.26
31003,1605,478997.3,6201490.0,27.0,33.1,0.0,0.00,33.69,43.82,116.27,328.46,764.95,211.04
31003,1612,478997.6,6201512.5,27.6,32.6,0.0,0.00,26.82,39.64,109.88,317.39,742.66,189.04
31003,1619,478998.0,6201534.5,28.1,32.0,0.0,0.00,21.95,35.32,101.79,302.34,716.21,170.01
31003,1626,478998.4,6201556.5,28.3,32.2,0.0,0.00,19.70,32.73,98.78,298.73,711.90,160.39
31003,1633,478998.8,6201578.5,28.1,33.0,0.0,0.00,18.69,31.66,99.85,307.31,729.44,166.56
31003,1640,478999.2,6201600.5,27.3,33.9,0.0,0.00,20.22,33.72,109.43,333.86,777.36,185.02
31003,1647,478999.4,6201623.0,26.3,34.4,0.0,0.00,23.22,37.71,125.35,373.75,843.13,209.66
