Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,725.0,523.3,729523.88,7168744.50,687.68,2.84,1.45,0.16
1,725.0,513.3,729523.88,7168744.50,689.15,2.84,1.45,0.16
1,725.0,500.8,729523.88,7168744.50,692.06,2.84,1.44,0.16
1,725.0,483.3,729523.88,7168744.50,697.27,2.84,1.43,0.16
1,725.0,462.7,729523.88,7168744.50,704.92,2.85,1.42,0.15
1,725.0,440.9,729523.88,7168744.50,715.71,2.85,1.40,0.15
1,725.0,417.8,729523.88,7168744.50,730.16,2.86,1.37,0.14
1,725.0,393.2,729523.88,7168744.50,748.62,2.87,1.34,0.13
1,725.0,367.2,729523.88,7168744.50,771.06,2.89,1.30,0.11
1,725.0,339.7,729523.88,7168744.50,797.00,2.90,1.25,0.10
1,725.0,310.4,729523.88,7168744.50,825.41,2.92,1.21,0.08
1,725.0,279.5,729523.88,7168744.50,854.80,2.93,1.17,0.07
1,725.0,246.6,729523.88,7168744.50,883.46,2.95,1.13,0.05
1,725.0,211.8,729523.88,7168744.50,909.74,2.96,1.10,0.04
1,725.0,174.4,729523.88,7168744.50,933.10,2.97,1.07,0.03
1,725.0,134.1,729523.88,7168744.50,951.93,2.98,1.05,0.02
1,725.0,91.5,729523.88,7168744.50,966.14,2.99,1.04,0.01
1,725.0,46.4,729523.88,7168744.50,975.98,2.99,1.02,0.01
1,725.0,-1.3,729523.88,7168744.50,981.50,2.99,1.02,0.01
1,775.0,553.4,729524.12,7168794.50,676.64,2.83,1.48,0.17
1,775.0,543.4,729524.12,7168794.50,677.33,2.83,1.48,0.17
1,775.0,533.4,729524.12,7168794.50,678.59,2.83,1.47,0.17
1,775.0,523.4,729524.12,7168794.50,680.34,2.83,1.47,0.17
1,775.0,513.4,729524.12,7168794.50,682.54,2.83,1.47,0.17
1,775.0,500.9,729524.12,7168794.50,686.68,2.84,1.46,0.16
1,775.0,483.4,729524.12,7168794.50,693.50,2.84,1.44,0.16
1,775.0,462.8,729524.12,7168794.50,702.69,2.85,1.42,0.15
1,775.0,440.9,729524.12,7168794.50,714.83,2.85,1.40,0.15
1,775.0,417.8,729524.12,7168794.50,730.32,2.86,1.37,0.14
1,775.0,393.2,729524.12,7168794.50,749.45,2.87,1.33,0.13
1,775.0,367.2,729524.12,7168794.50,772.21,2.89,1.29,0.11
1,775.0,339.7,729524.12,7168794.50,798.17,2.90,1.25,0.10
1,775.0,310.5,729524.12,7168794.50,826.39,2.92,1.21,0.08
1,775.0,279.5,729524.12,7168794.50,855.47,2.93,1.17,0.07
1,775.0,246.6,729524.12,7168794.50,883.79,2.95,1.13,0.05
1,775.0,211.8,729524.12,7168794.50,909.79,2.96,1.10,0.04
1,775.0,174.4,729524.12,7168794.50,932.93,2.97,1.07,0.03
1,775.0,134.1,729524.12,7168794.50,951.63,2.98,1.05,0.02
1,775.0,91.5,729524.12,7168794.50,965.80,2.98,1.04,0.02
1,775.0,46.4,729524.12,7168794.50,975.63,2.99,1.02,0.01
1,775.0,-1.3,729524.12,7168794.50,981.16,2.99,1.02,0.01
1,825.0,553.5,729524.25,7168844.50,666.43,2.82,1.50,0.18
1,825.0,543.5,729524.25,7168844.50,667.30,2.82,1.50,0.18
1,825.0,533.5,729524.25,7168844.50,668.90,2.83,1.50,0.17
1,825.0,523.5,729524.25,7168844.50,671.11,2.83,1.49,0.17
1,825.0,513.5,729524.25,7168844.50,673.88,2.83,1.48,0.17
1,825.0,501.0,729524.25,7168844.50,678.97,2.83,1.47,0.17
1,825.0,483.5,729524.25,7168844.50,687.13,2.84,1.46,0.16
1,825.0,462.9,729524.25,7168844.50,697.73,2.84,1.43,0.16
1,825.0,441.1,729524.25,7168844.50,711.23,2.85,1.41,0.15
1,825.0,418.0,729524.25,7168844.50,727.94,2.86,1.37,0.14
1,825.0,393.4,729524.25,7168844.50,748.06,2.87,1.34,0.13
1,825.0,367.4,729524.25,7168844.50,771.55,2.89,1.30,0.11
1,825.0,339.9,729524.25,7168844.50,797.97,2.90,1.25,0.10
1,825.0,310.6,729524.25,7168844.50,826.40,2.92,1.21,0.08
1,825.0,279.7,729524.25,7168844.50,855.53,2.93,1.17,0.07
1,825.0,246.8,729524.25,7168844.50,883.79,2.95,1.13,0.05
1,825.0,212.0,729524.25,7168844.50,909.68,2.96,1.10,0.04
